county_code,county_name,year,gdp_billion_yuan
440100,Guangzhou,2018,2285.9
440100,Guangzhou,2019,2362.9
440100,Guangzhou,2020,2501.9
440100,Guangzhou,2021,2823.2
440100,Guangzhou,2022,2883.9
440100,Guangzhou,2023,3035.5
440300,Shenzhen,2018,2422.2
440300,Shenzhen,2019,2692.7
440300,Shenzhen,2020,2767.0
440300,Shenzhen,2021,3066.5
440300,Shenzhen,2022,3238.8
440300,Shenzhen,2023,3460.6
440400,Zhuhai,2018,291.5
440400,Zhuhai,2019,343.5
440400,Zhuhai,2020,348.2
440400,Zhuhai,2021,388.2
440400,Zhuhai,2022,404.6
440400,Zhuhai,2023,423.3
440600,Foshan,2018,993.6
440600,Foshan,2019,1075.1
440600,Foshan,2020,1081.7
440600,Foshan,2021,1215.7
440600,Foshan,2022,1269.8
440600,Foshan,2023,1330.0
440700,Jiangmen,2018,290.0
440700,Jiangmen,2019,314.7
440700,Jiangmen,2020,323.2
440700,Jiangmen,2021,360.1
440700,Jiangmen,2022,377.3
440700,Jiangmen,2023,402.2
441200,Zhaoqing,2018,220.2
441200,Zhaoqing,2019,227.3
441200,Zhaoqing,2020,231.2
441200,Zhaoqing,2021,265.0
441200,Zhaoqing,2022,273.5
441200,Zhaoqing,2023,277.8
441300,Huizhou,2018,410.3
441300,Huizhou,2019,417.7
441300,Huizhou,2020,422.2
441300,Huizhou,2021,497.7
441300,Huizhou,2022,540.1
441300,Huizhou,2023,564.0
441900,Dongguan,2018,832.9
441900,Dongguan,2019,948.3
441900,Dongguan,2020,965.0
441900,Dongguan,2021,1085.5
441900,Dongguan,2022,1120.0
441900,Dongguan,2023,1143.8
442000,Zhongshan,2018,363.3
442000,Zhongshan,2019,310.1
442000,Zhongshan,2020,315.2
442000,Zhongshan,2021,355.1
442000,Zhongshan,2022,362.5
442000,Zhongshan,2023,385.0
